,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,QP1 (14),OOP (13),TA3 (10),TA3 (10),,DD (3)
Tiet 2,QP1 (14),OOP (13),TA3 (10),TA3 (10),,DD (3)
Tiet 3,QP1 (14),OOP (13),,,,DD (3)
Tiet 4,,OOP (13),OOP (13),,,DD (3)
Tiet 5,,OOP (13),OOP (13),,,DD (3)
Tiet 6,,,,QP1 (14),,
Tiet 7,,,,QP1 (14),,
Tiet 8,,,,,,
Tiet 9,,KTMLN (10),,KTMLN (10),,
Tiet 10,,KTMLN (10),,KTMLN (10),,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,10,3,9,2,C
861302,KTMLN,10,5,9,2,C
841044,OOP,13,3,4,2,C
841044,OOP,13,3,1,3,C
841044,OOP,13,4,4,2,C
866403,TA3,10,4,1,2,c
866403,TA3,10,5,1,2,C
862406,QP1,14,2,1,3,C
862406,QP1,14,5,6,2,C
841461,DD,3,7,1,3,C
841461,DD,3,7,4,2,C
