,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,QP1 (14),,,,,DD (3)
Tiet 2,QP1 (14),,,,,DD (3)
Tiet 3,QP1 (14),OOP (9),,KTMLN (11),,DD (3)
Tiet 4,,OOP (9),,KTMLN (11),,DD (3)
Tiet 5,,OOP (9),,KTMLN (11),,DD (3)
Tiet 6,,,OOP (9),QP1 (14),,
Tiet 7,,,OOP (9),QP1 (14),,
Tiet 8,,TA3 (3),OOP (9),,,
Tiet 9,,TA3 (3),OOP (9),,,
Tiet 10,,TA3 (3),OOP (9),,,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,11,5,3,3,C
841044,OOP,9,4,6,3,C
841044,OOP,9,4,9,2,C
841044,OOP,9,3,3,3,C
866403,TA3,3,3,8,3,C
862406,QP1,14,2,1,3,C
862406,QP1,14,5,6,2,C
841461,DD,3,7,1,3,C
841461,DD,3,7,4,2,C
