,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,OOP (10),OOP (10),,,,DD (3)
Tiet 2,OOP (10),OOP (10),,,,DD (3)
Tiet 3,OOP (10),,,KTMLN (11),,DD (3)
Tiet 4,OOP (10),,,KTMLN (11),,DD (3)
Tiet 5,OOP (10),,,KTMLN (11),,DD (3)
Tiet 6,QP1 (5),,,,,
Tiet 7,QP1 (5),,,,,
Tiet 8,QP1 (5),TA3 (3),,,,
Tiet 9,QP1 (5),TA3 (3),,,,
Tiet 10,,TA3 (3),,,,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,11,5,3,3,C
841044,OOP,10,2,1,2,C
841044,OOP,10,3,1,2,C
841044,OOP,10,2,3,3,C
866403,TA3,3,3,8,3,C
862406,QP1,5,2,6,4,C
841461,DD,3,7,1,3,C
841461,DD,3,7,4,2,C
